Id,Vote,Why?,Do you think tasers are safe?,Do you think tasers are safer than guns?,Age group,Gender,Location
453,yes,"Far less deadly than flying shards of metal in a dense city., It gives officers a less-lethal alternative ",no,yes,35,male,"Mission Viejo, CA, US"
457,no,"First need to professionalize, Tasers are faulty weapons  . SJPD has Had  8 deaths after T., Disarm police not more weapons community policing works",no,yes,35,male,"Hanoi, Ha N_i, VN"
459,no,,n/a,n/a,,,"San Francisco, CA, US"
104,no,"Tasers are faulty weapons  . SJPD has Had  8 deaths after T., Tasers kill, and police are too willing to use them., POA propaganda about tasers is the greatest danger to cops., _n this age of science, there must be mõre humanistic way",no,yes,35,male,"Hanoi, Ha N_i, VN"
470,yes,It gives officers a less-lethal alternative ,yes,yes,,,"Santa Rosa, CA, US"
475,no,Disarm police not more weapons community policing works,n/a,n/a,,,"Saint Helena, Victoria, AU"
479,yes,"Police should carry taser's instead of guns, It gives officers a less-lethal alternative ",yes,yes,35,male,unknown
494,no,"more a problem than a solution, _n this age of science, there must be mõre humanistic way",no,n/a,,,"Oakland, CA, US"
504,no,Disarm police not more weapons community policing works,maybe,n/a,,,"San Francisco, CA, US"
512,yes,It gives officers a less-lethal alternative ,yes,maybe,35,male,unknown
514,yes,It gives officers a less-lethal alternative ,maybe,yes,35,female,"San Francisco, CA, US"
518,yes,,n/a,n/a,,,unknown
520,maybe,Mandatory de-escalation training should accompany. ,n/a,n/a,,,"Ho Chi Minh City, H_ Ch&iacute; Minh, VN"
525,yes,It gives officers a less-lethal alternative ,n/a,n/a,,,"San Mateo, CA, US"
527,yes,Far less deadly than flying shards of metal in a dense city.,no,yes,35,male,unknown
528,maybe,They need to be working well 100% of time. ,n/a,n/a,,,unknown
529,yes,Far less deadly than flying shards of metal in a dense city.,maybe,yes,35,male,"Hanoi, Ha N_i, VN"
531,yes,Far less deadly than flying shards of metal in a dense city.,yes,yes,35,male,"Burlington, IA, US"
535,yes,"They need to be protected, they are at least less lethal, Far less deadly than flying shards of metal in a dense city., It gives officers a less-lethal alternative ",maybe,yes,35,male,"Fresno, CA, US"
545,yes,"They need to be protected, they are at least less lethal",yes,yes,35,female,"San Francisco, CA, US"
558,yes,It gives officers a less-lethal alternative ,maybe,yes,35,male,"San Francisco, CA, US"
581,maybe,,maybe,yes,,,"Alameda, CA, US"
619,yes,"they are at least less lethal, It gives officers a less-lethal alternative ",yes,yes,35,male,"San Francisco, CA, US"
658,yes,"Police should carry taser's instead of guns, Far less deadly than flying shards of metal in a dense city., It gives officers a less-lethal alternative ",maybe,yes,35,male,"Anaheim, CA, US"
666,yes,It gives officers a less-lethal alternative ,n/a,n/a,,,"San Francisco, CA, US"
668,maybe,They need to be working well 100% of time. ,maybe,no,35,male,"Anaheim, CA, US"
684,yes,It gives officers a less-lethal alternative ,yes,yes,35,other,"San Francisco, CA, US"
691,yes,It gives officers a less-lethal alternative ,yes,yes,35,male,"Oakland, CA, US"
